title,summary,comment,authors,category,split
Gamma-Ray Bursts as the Death Throes of Massive Binary Stars,"It is proposed that gamma-ray bursts are created in the mergers of double neutron star binaries and black hole neutron star binaries at cosmological distances. Bursts with complex profiles and relatively long durations are the result of magnetic flares generated by the Parker instability in a post-merger differentially-rotating disk. Some bursts may also be produced through neutrino-antineutrino annihilation into electrons and positrons. In both cases, an optically thick fireball of size $\sles\ 100$ km is initially created, which expands ultrarelativistically to large radii before radiating. Several previous objections to the cosmological merger model are eliminated. It is predicted that $\gamma$-ray bursts will be accompanied by a burst of gravitational radiation from the spiraling-in binary which could be detected by LIGO.",14 pages,"Ramesh Narayan, Bohdan Paczyński, Tsvi Piran",physics,test
Gravitational Lensing and the Variability of G,"The four observables associated with gravitational lensing of distant quasars by intervening galaxies: image splittings, relative amplifications, time delays, and optical depths, provide separate measures of the strength of the gravitational constant $G$ at cosmological distances. These allow one, in principle, to factor out unknown lensing parameters to directly to probe the variation of $G$ over cosmological time. We estimate constraints on $\dot{G}$ which may be derivable by this method both now and in the future. The limits one may obtain can compete or exceed other direct limits on $\dot{G}$ today, but unfortunately extracting this information, is not independent of the effort to fix other cosmological parameters such as $H_0$ and $\Omega_0$ from lensing observations.",13 pages plus figures (not included),"Lawrence Krauss, Martin White",physics,val
The Ptolemaic Gamma-Ray Burst Universe,"The BATSE experiment on GRO has demonstrated the isotropic arrival directions and flat $\log N$ {\it vs.} $\log S$ of cosmic gamma-ray bursts. These data are best explained if the burst sources are distributed throughout an extended spherical Galactic halo, as previously suggested by Jennings. The halo's radius is at least 40 Kpc, and probably is more than 100 Kpc. I consider possible origins of this halo, including primordial formation and neutron stars recoiling from their birthplaces in the Galactic disc. A simple geometrical model leads to a predicted relation between the dipole and quadrupole anisotropy. I suggest that neutron stars born with low recoil become millisecond pulsars, while those born with high recoil become the sources of gamma-ray bursts; these populations are nearly disjoint. Quiescent counterparts of gamma-ray bursts are predicted to be undetectably faint.",10 pages (Replaced to provide omitted line.),J. I. Katz,physics,train
Expanding Photospheres of Type II Supernovae and the Extragalactic Distance Scale,"We use the Expanding Photosphere Method to determine distances to 10 type II supernovae. The effects of asymmetries, extinction, and flux dilution are explored. Using empirical evidence and time-independent, spherical models which treat H and He in non-LTE, we show that blackbody corrections caused by flux dilution are small for type II supernovae in the infrared, and in the optical when their color temperatures are less than 6000~K. The extinction to a type II-P supernova can be estimated from its light curve: the uncertainty introduced into a distance measurement due to extinction is usually less than 10\%. Correcting for extinction and flux dilution we derive distances to 10 supernovae: SN 1968L, SN 1969L, SN 1970G, SN 1973R, SN 1979C, SN 1980K, SN 1987A, SN 1988A, SN 1990E, and SN 1990ae. The distance measurements span a wide range, 50 kpc to 120 Mpc, which is unique among the methods for establishing the extragalactic distance scale. The distances measured to SN 1970G in M101 and SN 1987A in the LMC are in good agreement with distances determined from Cepheid variable stars. Our distance to the Virgo Cluster, 22 +- 3 Mpc, is larger than recent distances estimates made using surface brightness fluctuations, planetary nebula luminosity functions, and the Tully-Fisher method. Using the distances determined from these type II supernovae we derive a value of $H_0 = 60 \pm 10$ km sec$^{-1}$Mpc$^{-1}$. This value is subject to errors caused by local deviations in the Hubble flow, but will soon be improved by applying the Expanding Photosphere Method to several distant type II supernovae.",21 pages,"B P Schmidt, R P Kirshner, R G Eastman",physics,train
Radiation Transfer in Gamma-Ray Bursts,"We have calculated gamma-ray radiative transport in regions of high energy density, such as gamma-ray burst source regions, using a discrete ordinate, discrete energy group method. The calculations include two-photon pair production and annihilation, as well as three-photon pair annihilation. The radiation field itself acts as an absorbing medium, and the optical depth depends on its intensity, so the problem is intrinsically nonlinear. Spherical divergence produces effective collimation of the flux. At high optical depth the high energy ($E > 1$ MeV) portion of the emergent spectrum assumes a nearly universal form. An approximate limit is derived for the high energy flux from a gamma-ray burst source region of given size, and the implications of this limit for the distance to the March 5, 1979 event are briefly discussed. We discuss more generally the problem of very luminous bursts, and implications of Galactic halo distances for flare models.",24 pages,"B. J. Carrigan, J. I. Katz",physics,test
Nova Dust Nucleation: Kinetics and Photodissociation,"Dust is observed to form in nova ejecta. The grain temperature is determined by the diluted nova radiation field rather than the gas kinetic temperature, making classical nucleation theory inapplicable. We used kinetic equations to calculate the growth of carbon nuclei in these ejecta. For expected values of the parameters too many clusters grew, despite the small sticking probability of atoms to small clusters, and the clusters only reached radii of about 100\AA\ when the carbon vapor was depleted. We then included the effects of cluster photodissociation by ultraviolet radiation from the nova. This suppresses nucleation, but too well, and no grains form at all. Finally we suggest that a few growing carbon nuclei may be protected from photodissociation by a sacrificial surface layer of hydrogen.",29 pages,"D. J. Johnson, M. W. Friedlander, J. I. Katz",physics,train
Nonstationary Gravitational Lenses and the Fermat Principle,"We apply Perlick's (1990a) rigorous formulation of the Fermat principle in arbitrary spacetimes to prove the correctness of the description of gravitational lensing by gravitational waves, given in the literature using the scalar and vector formalisms. We obtain an expression for the time delay due to such nonstationary lenses; the advantage over previous papers is that Perlick's formulation of the Fermat principle is very rigorous and more suitable for practical calculations in some cases. It is also shown that ordinary moving gravitational lenses must be considered as a stationary case.",12 pages,Valerio Faraoni,physics,train
Giant Molecular Cloud Formation through the Parker Instability in a Skewed Magnetic Field,"The effect of the magnetic skew on the Parker instability is investigated by means of the linear stability analysis for a gravitationally stratified gas layer permeated by a horizontal magnetic field. When the magnetic field is skewed (i.e., the field line direction is a function of the height), the wavelength of the most unstable mode is $ \lambda \; \sim \; 10 H $ where $ H $ is the pressure scale height. The growth rate of the short wavelength modes is greatly reduced when the gradient in the magnetic field direction exceeds 0.5 radian per scale height. Our results indicate that the Parker instability in a skewed magnetic field preferentially forms large scale structures like giant molecular clouds.",12 pages,"T. Hanawa, R. Matsumoto, K. Shibata",physics,train
Particle Acceleration in (by) Accretion Discs,"I present a model for acceleration of protons by the second-order Fermi process acting on randomly scrambled magnetic flux arches above an accretion disc. The accelerated protons collide with thermal protons in the disc, producing degraded energetic protons, charged and neutral pions, and neutrons. The pions produce gamma-rays by spontaneous decay of $\pi^0$ and by bremsstrahlung and Compton processes following the decay of $\pi^\pm$ to $e^\pm$.",3 pages,J. I. Katz,physics,train
The Spatial Distribution of Nearby Galaxy Clusters in the Northern and Southern Galactic Hemispheres,"We compare the spatial distributions of galaxy clusters in the northern and southern galactic hemispheres, and the Abell and ACO clusters distributions. We perform a statistical (correlation and cluster) analysis of a sample of Abell and ACO galaxy clusters in the southern galactic hemisphere. We compare these results with a symmetric sample at northern galactic latitude taken from Postman et al. (1992). For the northern sample, we substantially confirm the results of Postman et al. We find that the two-point spatial correlation function of northern and southern clusters is comparable, with mean correlation length 19.6 Mpc and slope -1.8 positive up to about 45 Mpc. Percolation properties are remarkably similar in the northern and southern cluster samples. We give also a catalog of superclusters. In the south galactic hemisphere the main feature is a very rich, extended supercluster in the Horologium region at a redshift 0.06, near to a large void.",20 pages,"A. Cappi, S. Maurogordato",physics,train
